,version_number,tool_id,tool_name,trusted,released_at,commit_url,source_url,release_source,no_of_stacks,lts,eol_info,support_info,tool_version_External_Factors_Freshness_Distance_from_latest_version,tool_version_External_Factors_Freshness_EOL_Support,tool_version_External_Factors_Last_commit_date_of_the_package,tool_version_External_Factors_Security_Vulnerabilities,star_count,forks_count,watch_count,release_count,last_release_date,contributor_count,license,activiy,Dependent_count,Repo_Count_For_A_Tools,Repo_Count_For_A_Tools_Current_Version,Repo_Count_For_A_Tools_Version_wise,score
0,1.19.1,7035,Prettier,True,2019-11-09 12:21:15 UTC,,https://libraries.io/npm/prettier/1.19.1,librariesio,113,,,,0,0,0,0,45912,3924,420,101,2019-05-01T23:03:47.650Z,530,MIT,45912,2570,192,113,"[{""version"": ""1.19.1"", ""no"": 113}, {""version"": ""1.18.2"", ""no"": 44}, {""version"": ""1.17.0"", ""no"": 8}, {""version"": ""1.15.3"", ""no"": 12}, {""version"": ""1.16.4"", ""no"": 15}, {""version"": ""1.14.2"", ""no"": 3}, {""version"": ""1.16.3"", ""no"": 5}, {""version"": ""2.0.5"", ""no"": 59}, {""version"": ""2.0.4"", ""no"": 3}, {""version"": ""1.18.1"", ""no"": 0}, {""version"": ""1.17.1"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 4}, {""version"": ""1.14.3"", ""no"": 9}, {""version"": ""1.13.5"", ""no"": 0}, {""version"": ""1.8.2"", ""no"": 1}, {""version"": ""1.13.0"", ""no"": 0}, {""version"": ""2.0.2"", ""no"": 2}, {""version"": ""1.13.7"", ""no"": 4}, {""version"": ""2.0.3"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.9.2"", ""no"": 3}, {""version"": ""1.15.2"", ""no"": 0}, {""version"": ""1.7.4"", ""no"": 2}, {""version"": ""1.11.1"", ""no"": 1}, {""version"": ""1.5.2"", ""no"": 0}, {""version"": ""1.7.0"", ""no"": 0}, {""version"": ""1.12.1"", ""no"": 2}, {""version"": ""1.13.2"", ""no"": 1}, {""version"": ""1.14.0"", ""no"": 1}, {""version"": ""1.10.2"", ""no"": 2}, {""version"": ""1.18.0"", ""no"": 0}, {""version"": ""1.16.1"", ""no"": 1}]",0
1,4.17.15,2438,Lodash,True,2019-07-19 02:28:46 UTC,,https://libraries.io/npm/lodash/4.17.15,librariesio,87,,,,0,0,0,0,56673,6966,849,2,2023-01-03T03:20:29.033Z,316,Other,56673,144,164,87,"[{""version"": ""4.17.15"", ""no"": 87}, {""version"": ""4.17.11"", ""no"": 35}, {""version"": ""4.17.10"", ""no"": 15}, {""version"": ""4.17.13"", ""no"": 4}, {""version"": ""0.9.2"", ""no"": 1}, {""version"": ""2.4.1"", ""no"": 14}, {""version"": ""4.17.14"", ""no"": 8}, {""version"": ""3.10.1"", ""no"": 25}, {""version"": ""4.17.5"", ""no"": 16}, {""version"": ""4.17.4"", ""no"": 33}, {""version"": ""4.6.1"", ""no"": 3}, {""version"": ""4.11.1"", ""no"": 1}, {""version"": ""3.9.3"", ""no"": 2}, {""version"": ""3.7.0"", ""no"": 1}, {""version"": ""4.13.1"", ""no"": 7}, {""version"": ""3.2.0"", ""no"": 1}, {""version"": ""3.5.0"", ""no"": 0}, {""version"": ""2.4.2"", ""no"": 6}, {""version"": ""4.17.2"", ""no"": 3}, {""version"": ""4.16.4"", ""no"": 2}, {""version"": ""4.16.2"", ""no"": 0}, {""version"": ""4.12.0"", ""no"": 1}, {""version"": ""4.15.0"", ""no"": 3}, {""version"": ""4.0.0"", ""no"": 2}, {""version"": ""3.9.1"", ""no"": 1}, {""version"": ""4.14.1"", ""no"": 3}, {""version"": ""4.17.3"", ""no"": 0}, {""version"": ""4.1.0"", ""no"": 0}, {""version"": ""2.1.0"", ""no"": 0}, {""version"": ""4.17.12"", ""no"": 1}, {""version"": ""4.17.19"", ""no"": 34}, {""version"": ""4.17.17"", ""no"": 0}, {""version"": ""4.5.1"", ""no"": 2}, {""version"": ""4.14.2"", ""no"": 1}]",0
2,4.42.0,1682,Webpack,True,2020-03-02 08:42:20 UTC,,https://libraries.io/npm/webpack/4.42.0,librariesio,13,,,,0,0,0,0,62325,8583,1497,403,2022-10-01T03:23:12.634Z,677,MIT,62325,985,130,13,"[{""version"": ""4.42.0"", ""no"": 13}, {""version"": ""4.43.0"", ""no"": 33}, {""version"": ""4.41.0"", ""no"": 5}, {""version"": ""4.40.3"", ""no"": 0}, {""version"": ""4.41.2"", ""no"": 16}, {""version"": ""3.12.0"", ""no"": 18}, {""version"": ""4.17.1"", ""no"": 0}, {""version"": ""4.41.5"", ""no"": 10}, {""version"": ""4.41.3"", ""no"": 0}, {""version"": ""4.29.6"", ""no"": 6}, {""version"": ""4.27.1"", ""no"": 1}, {""version"": ""4.41.6"", ""no"": 3}, {""version"": ""2.7.0"", ""no"": 7}, {""version"": ""4.40.2"", ""no"": 0}, {""version"": ""4.29.5"", ""no"": 4}, {""version"": ""4.42.1"", ""no"": 8}, {""version"": ""4.4.0"", ""no"": 0}, {""version"": ""4.19.1"", ""no"": 6}, {""version"": ""4.39.0"", ""no"": 0}, {""version"": ""1.9.11"", ""no"": 2}, {""version"": ""4.12.0"", ""no"": 1}, {""version"": ""4.6.0"", ""no"": 1}, {""version"": ""4.28.4"", ""no"": 6}, {""version"": ""4.28.3"", ""no"": 4}, {""version"": ""3.8.1"", ""no"": 24}, {""version"": ""4.38.0"", ""no"": 4}, {""version"": ""4.26.1"", ""no"": 3}, {""version"": ""3.5.5"", ""no"": 5}, {""version"": ""4.8.3"", ""no"": 0}, {""version"": ""4.29.0"", ""no"": 3}, {""version"": ""4.39.2"", ""no"": 4}, {""version"": ""4.33.0"", ""no"": 4}, {""version"": ""3.4.0"", ""no"": 1}, {""version"": ""3.6.0"", ""no"": 9}, {""version"": ""1.13.1"", ""no"": 13}, {""version"": ""4.32.2"", ""no"": 2}, {""version"": ""4.16.1"", ""no"": 0}, {""version"": ""4.0.1"", ""no"": 1}, {""version"": ""1.13.3"", ""no"": 4}, {""version"": ""1.12.0"", ""no"": 1}, {""version"": ""1.12.2"", ""no"": 1}, {""version"": ""4.39.3"", ""no"": 5}, {""version"": ""2.2.0"", ""no"": 2}, {""version"": ""4.12.2"", ""no"": 0}, {""version"": ""1.14.0"", ""no"": 15}, {""version"": ""2.2.1"", ""no"": 20}, {""version"": ""4.23.1"", ""no"": 2}, {""version"": ""3.10.0"", ""no"": 14}, {""version"": ""4.31.0"", ""no"": 1}, {""version"": ""3.8.0"", ""no"": 0}, {""version"": ""1.15.0"", ""no"": 7}, {""version"": ""3.11.0"", ""no"": 11}, {""version"": ""4.22.0"", ""no"": 0}, {""version"": ""4.14.0"", ""no"": 0}, {""version"": ""1.9.8"", ""no"": 0}, {""version"": ""2.4.1"", ""no"": 6}, {""version"": ""3.5.1"", ""no"": 3}, {""version"": ""2.5.1"", ""no"": 0}, {""version"": ""4.39.1"", ""no"": 2}, {""version"": ""4.5.0"", ""no"": 2}, {""version"": ""4.44.0"", ""no"": 6}, {""version"": ""4.44.1"", ""no"": 10}, {""version"": ""4.26.0"", ""no"": 1}, {""version"": ""4.7.0"", ""no"": 0}, {""version"": ""4.28.1"", ""no"": 0}, {""version"": ""4.9.1"", ""no"": 0}, {""version"": ""4.41.4"", ""no"": 1}, {""version"": ""4.32.0"", ""no"": 1}, {""version"": ""4.35.0"", ""no"": 0}, {""version"": ""4.30.0"", ""no"": 2}, {""version"": ""4.37.0"", ""no"": 1}, {""version"": ""1.13.0"", ""no"": 1}, {""version"": ""4.8.1"", ""no"": 0}, {""version"": ""4.10.2"", ""no"": 0}, {""version"": ""4.35.3"", ""no"": 3}, {""version"": ""4.25.1"", ""no"": 0}, {""version"": ""1.12.9"", ""no"": 3}, {""version"": ""4.28.2"", ""no"": 1}, {""version"": ""2.3.3"", ""no"": 0}, {""version"": ""4.29.3"", ""no"": 2}, {""version"": ""4.11.1"", ""no"": 0}, {""version"": ""4.29.1"", ""no"": 0}, {""version"": ""2.2.0-rc.3"", ""no"": 1}, {""version"": ""4.20.2"", ""no"": 1}, {""version"": ""4.41.1"", ""no"": 2}, {""version"": ""4.1.1"", ""no"": 0}, {""version"": ""3.5.2"", ""no"": 0}, {""version"": ""4.32.1"", ""no"": 0}, {""version"": ""2.1.0-beta.25"", ""no"": 0}, {""version"": ""3.5.6"", ""no"": 1}, {""version"": ""3.4.1"", ""no"": 3}, {""version"": ""4.10.1"", ""no"": 0}]",0
3,12.0.1,5446,Stylelint,True,2019-12-25 13:17:13 UTC,,https://libraries.io/npm/stylelint/12.0.1,librariesio,1,,,,0,0,0,0,10388,982,91,207,2022-09-28T09:28:38.655Z,364,MIT,10388,1112,10,1,"[{""version"": ""12.0.1"", ""no"": 1}, {""version"": ""13.4.1"", ""no"": 0}, {""version"": ""13.5.0"", ""no"": 0}, {""version"": ""10.1.0"", ""no"": 3}, {""version"": ""13.2.1"", ""no"": 0}, {""version"": ""13.0.0"", ""no"": 3}, {""version"": ""9.10.1"", ""no"": 2}, {""version"": ""13.3.3"", ""no"": 1}, {""version"": ""7.13.0"", ""no"": 4}, {""version"": ""12.0.0"", ""no"": 2}, {""version"": ""13.6.0"", ""no"": 0}, {""version"": ""13.3.1"", ""no"": 1}, {""version"": ""13.6.1"", ""no"": 2}, {""version"": ""8.4.0"", ""no"": 1}, {""version"": ""9.1.3"", ""no"": 0}, {""version"": ""8.3.1"", ""no"": 0}, {""version"": ""10.0.1"", ""no"": 0}, {""version"": ""13.2.0"", ""no"": 1}, {""version"": ""9.2.0"", ""no"": 0}, {""version"": ""9.5.0"", ""no"": 1}, {""version"": ""9.1.1"", ""no"": 0}, {""version"": ""9.2.1"", ""no"": 0}, {""version"": ""11.1.1"", ""no"": 2}, {""version"": ""9.6.0"", ""no"": 0}, {""version"": ""9.7.1"", ""no"": 0}, {""version"": ""9.9.0"", ""no"": 0}, {""version"": ""8.2.0"", ""no"": 0}, {""version"": ""9.3.0"", ""no"": 1}, {""version"": ""13.4.0"", ""no"": 0}, {""version"": ""11.0.0"", ""no"": 1}, {""version"": ""9.1.2"", ""no"": 0}]",0
4,3.10.0,4488,Enzyme,True,2019-06-04 00:54:41 UTC,,https://libraries.io/npm/enzyme/3.10.0,librariesio,12,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4.43.0,1682,Webpack,True,2020-04-21 16:19:14 UTC,,https://libraries.io/npm/webpack/4.43.0,librariesio,33,,,,0,0,0,0,62325,8583,1497,403,2022-10-01T03:23:12.634Z,677,MIT,62325,985,130,33,"[{""version"": ""4.42.0"", ""no"": 13}, {""version"": ""4.43.0"", ""no"": 33}, {""version"": ""4.41.0"", ""no"": 5}, {""version"": ""4.40.3"", ""no"": 0}, {""version"": ""4.41.2"", ""no"": 16}, {""version"": ""3.12.0"", ""no"": 18}, {""version"": ""4.17.1"", ""no"": 0}, {""version"": ""4.41.5"", ""no"": 10}, {""version"": ""4.41.3"", ""no"": 0}, {""version"": ""4.29.6"", ""no"": 6}, {""version"": ""4.27.1"", ""no"": 1}, {""version"": ""4.41.6"", ""no"": 3}, {""version"": ""2.7.0"", ""no"": 7}, {""version"": ""4.40.2"", ""no"": 0}, {""version"": ""4.29.5"", ""no"": 4}, {""version"": ""4.42.1"", ""no"": 8}, {""version"": ""4.4.0"", ""no"": 0}, {""version"": ""4.19.1"", ""no"": 6}, {""version"": ""4.39.0"", ""no"": 0}, {""version"": ""1.9.11"", ""no"": 2}, {""version"": ""4.12.0"", ""no"": 1}, {""version"": ""4.6.0"", ""no"": 1}, {""version"": ""4.28.4"", ""no"": 6}, {""version"": ""4.28.3"", ""no"": 4}, {""version"": ""3.8.1"", ""no"": 24}, {""version"": ""4.38.0"", ""no"": 4}, {""version"": ""4.26.1"", ""no"": 3}, {""version"": ""3.5.5"", ""no"": 5}, {""version"": ""4.8.3"", ""no"": 0}, {""version"": ""4.29.0"", ""no"": 3}, {""version"": ""4.39.2"", ""no"": 4}, {""version"": ""4.33.0"", ""no"": 4}, {""version"": ""3.4.0"", ""no"": 1}, {""version"": ""3.6.0"", ""no"": 9}, {""version"": ""1.13.1"", ""no"": 13}, {""version"": ""4.32.2"", ""no"": 2}, {""version"": ""4.16.1"", ""no"": 0}, {""version"": ""4.0.1"", ""no"": 1}, {""version"": ""1.13.3"", ""no"": 4}, {""version"": ""1.12.0"", ""no"": 1}, {""version"": ""1.12.2"", ""no"": 1}, {""version"": ""4.39.3"", ""no"": 5}, {""version"": ""2.2.0"", ""no"": 2}, {""version"": ""4.12.2"", ""no"": 0}, {""version"": ""1.14.0"", ""no"": 15}, {""version"": ""2.2.1"", ""no"": 20}, {""version"": ""4.23.1"", ""no"": 2}, {""version"": ""3.10.0"", ""no"": 14}, {""version"": ""4.31.0"", ""no"": 1}, {""version"": ""3.8.0"", ""no"": 0}, {""version"": ""1.15.0"", ""no"": 7}, {""version"": ""3.11.0"", ""no"": 11}, {""version"": ""4.22.0"", ""no"": 0}, {""version"": ""4.14.0"", ""no"": 0}, {""version"": ""1.9.8"", ""no"": 0}, {""version"": ""2.4.1"", ""no"": 6}, {""version"": ""3.5.1"", ""no"": 3}, {""version"": ""2.5.1"", ""no"": 0}, {""version"": ""4.39.1"", ""no"": 2}, {""version"": ""4.5.0"", ""no"": 2}, {""version"": ""4.44.0"", ""no"": 6}, {""version"": ""4.44.1"", ""no"": 10}, {""version"": ""4.26.0"", ""no"": 1}, {""version"": ""4.7.0"", ""no"": 0}, {""version"": ""4.28.1"", ""no"": 0}, {""version"": ""4.9.1"", ""no"": 0}, {""version"": ""4.41.4"", ""no"": 1}, {""version"": ""4.32.0"", ""no"": 1}, {""version"": ""4.35.0"", ""no"": 0}, {""version"": ""4.30.0"", ""no"": 2}, {""version"": ""4.37.0"", ""no"": 1}, {""version"": ""1.13.0"", ""no"": 1}, {""version"": ""4.8.1"", ""no"": 0}, {""version"": ""4.10.2"", ""no"": 0}, {""version"": ""4.35.3"", ""no"": 3}, {""version"": ""4.25.1"", ""no"": 0}, {""version"": ""1.12.9"", ""no"": 3}, {""version"": ""4.28.2"", ""no"": 1}, {""version"": ""2.3.3"", ""no"": 0}, {""version"": ""4.29.3"", ""no"": 2}, {""version"": ""4.11.1"", ""no"": 0}, {""version"": ""4.29.1"", ""no"": 0}, {""version"": ""2.2.0-rc.3"", ""no"": 1}, {""version"": ""4.20.2"", ""no"": 1}, {""version"": ""4.41.1"", ""no"": 2}, {""version"": ""4.1.1"", ""no"": 0}, {""version"": ""3.5.2"", ""no"": 0}, {""version"": ""4.32.1"", ""no"": 0}, {""version"": ""2.1.0-beta.25"", ""no"": 0}, {""version"": ""3.5.6"", ""no"": 1}, {""version"": ""3.4.1"", ""no"": 3}, {""version"": ""4.10.1"", ""no"": 0}]",0
6,2.1.0,1537,Rails Spring,True,2019-06-14 19:37:31 UTC,,https://libraries.io/RubyGems/spring/2.1.0,librariesio,20,,,,0,0,0,0,3054,813,208,0,2018-08-07T23:20:02.675Z,76,Other,3054,2,48,20,"[{""version"": ""2.1.0"", ""no"": 20}, {""version"": ""2.0.2"", ""no"": 28}, {""version"": ""1.3.6"", ""no"": 0}, {""version"": ""1.7.2"", ""no"": 0}, {""version"": ""2.0.0"", ""no"": 1}, {""version"": ""1.7.1"", ""no"": 0}, {""version"": ""1.0.0"", ""no"": 0}, {""version"": ""1.6.4"", ""no"": 0}, {""version"": ""1.1.3"", ""no"": 2}, {""version"": ""1.3.4"", ""no"": 1}, {""version"": ""1.6.3"", ""no"": 0}, {""version"": ""0.0.8"", ""no"": 0}, {""version"": ""1.3.2"", ""no"": 0}, {""version"": ""2.0.1"", ""no"": 1}, {""version"": ""1.1.2"", ""no"": 0}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.2.0"", ""no"": 1}, {""version"": ""1.3.3"", ""no"": 0}]",0
7,4.2.2,6187,Webpacker,True,2019-12-09 11:56:06 UTC,,https://libraries.io/RubyGems/webpacker/4.2.2,librariesio,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4.3.5,1055,Puma,True,2020-05-19 22:43:18 UTC,,https://libraries.io/RubyGems/puma/4.3.5,librariesio,5,,,,0,0,0,0,7421,1402,178,57,2023-06-21T02:55:51.782Z,450,BSD-3-Clause,7421,33,21,5,"[{""version"": ""4.3.5"", ""no"": 5}, {""version"": ""3.12.2"", ""no"": 2}, {""version"": ""4.3.3"", ""no"": 2}, {""version"": ""4.3.4"", ""no"": 0}, {""version"": ""3.12.4"", ""no"": 1}, {""version"": ""4.3.1"", ""no"": 1}, {""version"": ""3.12.6"", ""no"": 6}, {""version"": ""3.12.0"", ""no"": 2}, {""version"": ""3.1.0"", ""no"": 0}, {""version"": ""2.14.0"", ""no"": 1}, {""version"": ""3.11.2"", ""no"": 1}, {""version"": ""3.6.0"", ""no"": 0}, {""version"": ""3.4.0"", ""no"": 0}, {""version"": ""3.12.1"", ""no"": 2}, {""version"": ""3.11.4"", ""no"": 2}, {""version"": ""4.2.0"", ""no"": 0}, {""version"": ""3.9.1"", ""no"": 0}, {""version"": ""2.11.1"", ""no"": 0}, {""version"": ""3.11.3"", ""no"": 0}, {""version"": ""2.16.0"", ""no"": 0}, {""version"": ""1.6.3"", ""no"": 0}, {""version"": ""3.8.2"", ""no"": 0}, {""version"": ""4.0.0"", ""no"": 0}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""3.6.2"", ""no"": 1}, {""version"": ""3.11.0"", ""no"": 0}, {""version"": ""2.12.2"", ""no"": 0}, {""version"": ""2.8.2"", ""no"": 0}, {""version"": ""2.15.3"", ""no"": 0}, {""version"": ""3.10.0"", ""no"": 1}]",0
9,6.0.7,1078,Sidekiq,True,2020-04-17 14:48:26 UTC,,https://libraries.io/RubyGems/sidekiq/6.0.7,librariesio,2,,,,0,0,0,0,12518,2321,219,0,2023-06-14T16:45:53.434Z,570,Other,12518,22,5,2,"[{""version"": ""6.0.7"", ""no"": 2}, {""version"": ""5.2.7"", ""no"": 2}, {""version"": ""5.2.8"", ""no"": 0}, {""version"": ""6.0.0"", ""no"": 0}, {""version"": ""6.0.5"", ""no"": 0}, {""version"": ""6.0.6"", ""no"": 0}, {""version"": ""5.1.3"", ""no"": 0}, {""version"": ""3.4.2"", ""no"": 1}, {""version"": ""5.2.5"", ""no"": 1}, {""version"": ""4.2.10"", ""no"": 0}, {""version"": ""5.0.5"", ""no"": 1}, {""version"": ""4.1.2"", ""no"": 0}, {""version"": ""5.0.2"", ""no"": 0}, {""version"": ""5.0.0"", ""no"": 0}, {""version"": ""5.2.1"", ""no"": 0}, {""version"": ""3.1.3"", ""no"": 0}, {""version"": ""4.0.2"", ""no"": 0}, {""version"": ""2.7.5"", ""no"": 0}, {""version"": ""3.5.1"", ""no"": 0}, {""version"": ""3.1.4"", ""no"": 0}, {""version"": ""3.2.5"", ""no"": 0}, {""version"": ""3.3.0"", ""no"": 0}, {""version"": ""6.0.4"", ""no"": 0}, {""version"": ""6.1.0"", ""no"": 0}, {""version"": ""6.1.1"", ""no"": 0}]",0
